question,answer
"Hi","Hello! How can I assist you with your banking needs today?"
"வணக்கம்","வணக்கம்! உங்கள் வங்கித் தேவைகளுக்கு நான் எவ்வாறு உதவ முடியும்?"
"Hello","Hi! Need help with anything about your bank account, loan, or services?"
"loan","We offer personal, home, education, and vehicle loans. What kind of loan do you need info about?"
"கடன்","நாங்கள் தனிப்பட்ட கடன், வீட்டுக் கடன், கல்விக் கடன் மற்றும் வாகனக் கடன்களை வழங்குகிறோம். உங்களுக்கு எந்த வகையான கடன் தகவல் தேவை?"
"home loan","To apply for a home loan, please visit your nearest branch or apply online. Interest rates start at 8.5%."
"வீட்டுக் கடன்","வீட்டுக் கடனுக்கு விண்ணப்பிக்க, தயவுசெய்து உங்கள் அருகிலுள்ள கிளைக்குச் செல்லவும் அல்லது ஆன்லைனில் விண்ணப்பிக்கவும். வட்டி விகிதம் 8.5% முதல் தொடங்குகிறது."
"personal loan","You can apply online or at a branch with income proof, ID, and PAN card. Tenure ranges up to 5 years."
"தனிப்பட்ட கடன்","நீங்கள் ஆன்லைனில் அல்லது கிளையில் வருமானச் சான்று, அடையாள அட்டை மற்றும் பான் கார்டுடன் விண்ணப்பிக்கலாம். கடன் காலம் 5 ஆண்டுகள் வரை."
"loan documents","You'll need ID proof, income proof, address proof, and a filled application form."
"கடன் ஆவணங்கள்","உங்களுக்கு அடையாளச் சான்று, வருமானச் சான்று, முகவரிச் சான்று மற்றும் பூர்த்தி செய்யப்பட்ட விண்ணப்பப் படிவம் தேவை."
"loan interest rate","Our loan interest rates start from 8.5% depending on the type and amount."
"கடன் வட்டி விகிதம்","எங்கள் கடன் வட்டி விகிதங்கள் வகை மற்றும் தொகையைப் பொறுத்து 8.5% முதல் தொடங்குகிறது."
"credit card","We offer a range of credit cards with reward points and cashback. You can apply online or at a branch."
"கிரெடிட் கார்டு","நாங்கள் ரிவார்டு பாயிண்ட்கள் மற்றும் கேஷ்பேக்குடன் பல்வேறு கிரெடிட் கார்டுகளை வழங்குகிறோம். நீங்கள் ஆன்லைனில் அல்லது கிளையில் விண்ணப்பிக்கலாம்."
"credit card apply","You can apply through our website or mobile app. Eligibility depends on your income and credit score."
"கிரெடிட் கார்டு விண்ணப்பம்","எங்கள் இணையதளம் அல்லது மொபைல் ஆப் மூலம் விண்ணப்பிக்கலாம். தகுதி உங்கள் வருமானம் மற்றும் கிரெடிட் ஸ்கோரைப் பொறுத்தது."
"credit card lost","Report it immediately via customer care or mobile app. A replacement will be issued."
"கிரெடிட் கார்டு தொலைந்தது","வாடிக்கையாளர் உதவி அல்லது மொபைல் ஆப் மூலம் உடனடியாகப் புகாரளிக்கவும். மாற்று அட்டை வழங்கப்படும்."
"ATM withdrawal limit","The daily ATM withdrawal limit is ₹25,000 for savings accounts. Higher limits for premium accounts."
"ஏடிஎம் எடுப்பு வரம்பு","சேமிப்புக் கணக்குகளுக்கு தினசரி ஏடிஎம் எடுப்பு வரம்பு ₹25,000 ஆகும். பிரீமியம் கணக்குகளுக்கு அதிக வரம்புகள்."
"ATM card blocked","If your ATM card is blocked, contact customer service or visit the branch to reactivate or replace it."
